Word,Reading,Translation,Category
言う,いう,decir,verb
彼氏,かれし,novio,noun
上,うえ,arriba,noun
下,した,abajo,noun
左,ひだり,izquierda,noun
右,みぎ,derecha,noun
前,まえ,delante,noun
後ろ,うしろ,detrás,noun
隣,となり,al lado,noun
そば,そば,cerca,expression
中,なか,dentro,noun
外,そと,fuera,noun
間,あいだ,entre,noun
男,おとこ,hombre,noun
女,おんな,mujer,noun
北,きた,norte,noun
東,ひがし,este,noun
西,にし,oeste,noun
南,みなみ,sur,noun
韓国,かんこく,corea,noun
ベトナム,べとなむ,vietnam,noun
彼女,かのじょ,novia,noun
中国,ちゅうごく,china,noun
趣味,しゅみ,hobby,noun
ホラー,ほらー,terror,noun
ファンタジー,ふぁんたじー,fantasía,noun
どんな,どんな,qué tipo de,expression
コメディ,こめでぃ,comedia,noun
恋愛,れんあい,romance,noun
アクション,あくしょん,acción,noun
本当,ほんとう,verdad / realmente,noun
